IMAGE F Q FRC E QS
25098.jpg 0.0241769 -0.123156 0.151256 0.0920435 0.675996 
253016.jpg 0.149822 0.113544 0.114891 0.168046 0.756728 
253027.jpg -0.109804 -0.109672 -0.104022 -0.109707 0.808822 
253036.jpg 0.0402042 0.0424107 -0.0445502 0.0235487 0.610125 
253055.jpg 0.020158 0.0202363 -0.0196944 0.0188462 0.681651 
253092.jpg 0.164622 0.169085 0.192947 0.176634 0.794042 
254033.jpg -0.0344607 -0.0127948 -0.0685165 -0.0287502 0.955857 
254054.jpg -0.0489468 -0.0491955 0.0255881 -0.0478935 0.791028 
257098.jpg -0.0948454 -0.144118 0.139587 0.0731029 0.507715 
258089.jpg 0.00172406 -0.0562622 0.0324892 0.070751 0.452286 
259060.jpg -0.14125 -0.126782 0.0128116 -0.135187 0.862009 
260058.jpg 0.0078095 0.00582441 -0.0654073 0.0513224 0.86092 
260081.jpg 0.122652 0.120588 0.102677 0.127814 0.810338 
26031.jpg 0.0187057 0.027141 0.0766171 -0.00507737 0.451846 
267036.jpg 0.175014 0.189533 -0.188239 0.184619 0.795899 
268002.jpg 0.11106 0.111024 0.0264166 0.106845 0.590363 
268048.jpg 0.289991 0.285149 -0.226425 0.286255 0.744891 
268074.jpg 0.055111 0.0712283 -0.18013 0.0793287 0.839681 
27059.jpg 0.00840645 -0.00112885 0.00852678 0.00820924 0.528478 
271008.jpg -0.206656 -0.174127 0.0592044 -0.212805 0.634823 
271031.jpg -0.174855 -0.173603 0.175487 -0.175552 0.504912 
271035.jpg 0.2617 0.255414 0.254476 0.25925 0.653488 
274007.jpg -0.014062 -0.0641498 0.15315 0.134155 0.657928 
277053.jpg -0.0328474 -0.0046886 -0.0489219 -0.0515652 0.750019 
277095.jpg 0.0502388 0.0523756 -0.0168798 0.0492102 0.750638 
279005.jpg -0.279743 -0.279479 0.16148 -0.279464 0.666924 
28075.jpg -0.0383465 -0.365045 0.35057 0.288475 0.593722 
28083.jpg 0.184001 0.174544 -0.204342 0.174574 0.892925 
